time	V(control)	V(n001)	I(R1)
5.000000130828417e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000162237414e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000210354008e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000289445550e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000447628635e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000000682346975e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000001078704767e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000001477289378e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000002014148059e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000002574695324e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000004676862086e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000006779028848e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000008881195610e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000010983362372e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000013085529133e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000015187695896e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.000017289862657e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.500000001000000e+00	5.000000e+00	-1.499986e+01	1.499986e-02
5.500000002000000e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500000018000001e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500000020692184e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500000025234757e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000034319902e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000052490192e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000088830772e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000141718974e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000218098556e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000344677739e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000597836104e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500000850191059e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500001082684071e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500001305863575e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500001545666991e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500001769190918e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500001835081243e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001851978431e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001855094512e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001856035258e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001856311993e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001856526953e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001856753967e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001857054757e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001857342194e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001857753271e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001858235747e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001859050572e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001860375698e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001863025950e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500001868326453e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500002023325544e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500002188657909e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500002430860515e+00	0.000000e+00	-1.499987e+01	1.499987e-02
5.500002539817056e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500002662232519e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500002779803045e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500002904217321e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500003048771826e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500003223347210e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500003572497977e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500004270799510e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500005244292762e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500007191279267e+00	0.000000e+00	-1.499986e+01	1.499986e-02
5.500011085252278e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.000000000000000e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.000000001000000e+00	5.000000e+00	-1.499969e+01	1.499969e-02
6.000000001108885e+00	5.000000e+00	-1.499969e+01	1.499969e-02
6.000000001254064e+00	5.000000e+00	-1.499969e+01	1.499970e-02
6.000000001753493e+00	5.000000e+00	-1.499970e+01	1.499970e-02
6.000000002093939e+00	5.000000e+00	-1.499970e+01	1.499970e-02
6.000000002589528e+00	5.000000e+00	-1.499970e+01	1.499970e-02
6.000000003159886e+00	5.000000e+00	-1.499970e+01	1.499970e-02
6.000000004068208e+00	5.000000e+00	-1.499971e+01	1.499971e-02
6.000000005433823e+00	5.000000e+00	-1.499971e+01	1.499971e-02
6.000000008165053e+00	5.000000e+00	-1.499973e+01	1.499973e-02
6.000000013627512e+00	5.000000e+00	-1.499975e+01	1.499975e-02
6.000000022115414e+00	5.000000e+00	-1.499978e+01	1.499978e-02
6.000000038281183e+00	5.000000e+00	-1.499982e+01	1.499982e-02
6.000000054712100e+00	5.000000e+00	-1.499985e+01	1.499985e-02
6.000000070156676e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000087540401e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000106312853e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000130828421e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000162237416e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000210354012e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000289445559e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000447628651e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000000682346996e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000001078704793e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000001477289406e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000002014148094e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000002574695363e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000004676862176e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000006779028990e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000008881195803e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000010983362616e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000013085529429e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000015187696243e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.000017289863056e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.500000001000000e+00	5.000000e+00	-1.499986e+01	1.499986e-02
6.500000002000000e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500000018000001e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500000020692184e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500000025234757e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000034319902e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000052490192e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000088830772e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000141718975e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000218098560e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000344677738e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000597836095e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500000850191048e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500001082684061e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500001305863565e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500001545666981e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500001769190908e+00	0.000000e+00	-1.499986e+01	1.499986e-02
6.500001835081235e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001851978423e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001855094504e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001856035250e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001856311985e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001856526945e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001856753959e+00	0.000000e+00	-1.499987e+01	1.499987e-02
6.500001857054748e+00	0.000000e+00	-1.499987e+01	1.499987e-02
